event_time,user_id,session_id,event_type,device_type,os,country,referral_source,is_returning_user,user_age_group,user_gender,content_id,genre,plan_selected,price_selected,payment_method,session_duration_seconds,event_date,event_hour,weekday
2025-04-30 21:08:15,U50425,S100425,Visit_Content,Desktop,Linux,India,Organic,0,25-34,Other,C1991,Drama,None,0.0,None,18,2025-04-30,21,Wednesday
2025-05-01 11:03:55,U50991,S100991,Visit_Content,Mobile,Android,Spain,Organic,1,18-24,Female,C1587,Action,None,0.0,None,1820,2025-05-01,11,Thursday
2025-05-01 12:08:37,U50984,S100984,Visit_Content,Mobile,iOS,India,Referral,0,25-34,Other,C1058,Romance,None,0.0,None,1967,2025-05-01,12,Thursday
2025-05-01 12:14:41,U50984,S100984,Click_Subscribe,Mobile,iOS,India,Referral,0,25-34,Other,C1058,Romance,None,0.0,None,1967,2025-05-01,12,Thursday
2025-05-01 12:17:07,U50984,S100984,Select_Plan,Mobile,iOS,India,Referral,0,25-34,Other,C1058,Romance,Monthly,7.99,None,1967,2025-05-01,12,Thursday
2025-05-01 12:17:45,U50984,S100984,Start_Payment,Mobile,iOS,India,Referral,0,25-34,Other,C1058,Romance,Monthly,7.99,Wallet,1967,2025-05-01,12,Thursday
2025-05-01 12:22:13,U50234,S100234,Visit_Content,Desktop,Windows,India,Organic,1,45-54,Male,C1022,Action,None,0.0,None,2417,2025-05-01,12,Thursday
2025-05-01 18:50:34,U50249,S100249,Visit_Content,Desktop,Windows,India,Email,0,45-54,Other,C1469,Drama,None,0.0,None,3236,2025-05-01,18,Thursday
2025-05-01 19:06:06,U51414,S101414,Visit_Content,SmartTV,FireOS,United Kingdom,Ad,0,18-24,Other,C1789,Kids,None,0.0,None,944,2025-05-01,19,Thursday
2025-05-01 19:15:02,U51414,S101414,Click_Subscribe,SmartTV,FireOS,United Kingdom,Ad,0,18-24,Other,C1789,Kids,None,0.0,None,944,2025-05-01,19,Thursday
2025-05-01 19:16:36,U51414,S101414,Select_Plan,SmartTV,FireOS,United Kingdom,Ad,0,18-24,Other,C1789,Kids,Yearly,79.99,None,944,2025-05-01,19,Thursday
2025-05-01 19:22:58,U51414,S101414,Start_Payment,SmartTV,FireOS,United Kingdom,Ad,0,18-24,Other,C1789,Kids,Yearly,79.99,PayPal,944,2025-05-01,19,Thursday
2025-05-02 08:11:53,U50042,S100042,Visit_Content,Tablet,Windows,Canada,Email,0,25-34,Male,C1577,Documentary,None,0.0,None,1919,2025-05-02,8,Friday
2025-05-02 08:55:41,U50434,S100434,Visit_Content,Mobile,Android,United States,Ad,1,35-44,Female,C1827,Action,None,0.0,None,1085,2025-05-02,8,Friday
2025-05-02 13:18:03,U51079,S101079,Visit_Content,Desktop,Windows,India,Organic,1,25-34,Female,C1234,Kids,None,0.0,None,3326,2025-05-02,13,Friday
2025-05-02 13:20:27,U51079,S101079,Click_Subscribe,Desktop,Windows,India,Organic,1,25-34,Female,C1234,Kids,None,0.0,None,3326,2025-05-02,13,Friday
2025-05-02 13:25:20,U51079,S101079,Select_Plan,Desktop,Windows,India,Organic,1,25-34,Female,C1234,Kids,Monthly,7.99,None,3326,2025-05-02,13,Friday
2025-05-02 13:33:58,U51079,S101079,Start_Payment,Desktop,Windows,India,Organic,1,25-34,Female,C1234,Kids,Monthly,7.99,NetBanking,3326,2025-05-02,13,Friday
2025-05-02 21:47:11,U51122,S101122,Visit_Content,Mobile,iOS,India,Organic,0,35-44,Male,C1475,Action,None,0.0,None,418,2025-05-02,21,Friday
